n,compile,apply,total
1,0.33,1.39,4.88533806801
1,0.35,1.39,4.9676451683
1,0.34,1.37,4.85300111771
2,0.34,1.4,4.88001894951
2,0.34,1.38,4.84177398682
2,0.34,1.37,4.83834910393
5,0.34,1.37,4.86106300354
5,0.34,1.38,4.85542678833
5,0.34,1.38,4.84218192101
10,0.36,1.38,4.89834189415
10,0.35,1.38,4.91296005249
10,0.36,1.38,4.86102795601
20,0.37,1.38,4.87529301643
20,0.36,1.38,4.88061094284
20,0.37,1.4,4.97052097321
50,0.4,1.41,5.08991289139
50,0.4,1.4,5.00243115425
50,0.41,1.42,5.0452029705
100,0.47,1.43,5.17567276955
100,0.46,1.36,5.09946703911
100,0.47,1.42,5.14219498634
200,0.59,1.51,5.4994468689
200,0.59,1.49,5.47168207169
200,0.59,1.52,5.51156806946
500,0.96,1.71,6.39469814301
500,0.97,1.71,6.45800495148
500,0.96,1.68,6.3731379509
1000,1.58,2.02,7.86926698685
1000,1.58,2.0,7.91210222244
1000,1.58,2.02,7.895622015
2000,2.9,2.84,11.1077740192
2000,2.85,2.81,10.9616410732
2000,2.88,2.89,11.1628789902
5000,6.63,5.19,20.5595200062
5000,6.58,5.23,20.5057630539
5000,6.53,5.2,20.412361145
10000,12.79,9.3,36.5133118629
10000,12.77,9.27,36.5039989948
10000,12.97,9.21,36.7879281044
